# 1:iteration 2:time bin[s] 3-k:AB magnitude for k-th angular bin
# g-band (filter: g_LSST.dat)
   0    0.1250000 -1.68608e+01 -1.68611e+01 -1.68510e+01 -1.68461e+01 -1.68574e+01 -1.68587e+01 -1.68623e+01 -1.68517e+01 -1.68547e+01 -1.68577e+01 -1.68553e+01 -1.68510e+01 -1.68519e+01 -1.68516e+01 -1.68535e+01 -1.68681e+01 -1.68631e+01 -1.68515e+01 -1.68530e+01 -1.68484e+01 -1.68530e+01 -1.68494e+01 -1.68514e+01 -1.68529e+01 -1.68550e+01 -1.68610e+01 -1.68492e+01 -1.68520e+01 -1.68477e+01 -1.68544e+01 -1.68606e+01 -1.68565e+01 -1.68546e+01 -1.68524e+01 -1.68550e+01 -1.68563e+01 -1.68584e+01 -1.68511e+01 -1.68597e+01 -1.68514e+01 -1.68569e+01 -1.68445e+01 -1.68604e+01 -1.68417e+01 -1.68588e+01 -1.68549e+01 -1.68588e+01 -1.68580e+01 -1.68491e+01 -1.68560e+01 -1.68631e+01 -1.68458e+01 -1.68544e+01 -1.68531e+01 
   1    0.1277371 -1.68830e+01 -1.68889e+01 -1.68803e+01 -1.68729e+01 -1.68828e+01 -1.68883e+01 -1.68891e+01 -1.68801e+01 -1.68776e+01 -1.68859e+01 -1.68808e+01 -1.68755e+01 -1.68773e+01 -1.68805e+01 -1.68830e+01 -1.68905e+01 -1.68923e+01 -1.68783e+01 -1.68809e+01 -1.68773e+01 -1.68795e+01 -1.68770e+01 -1.68780e+01 -1.68790e+01 -1.68831e+01 -1.68857e+01 -1.68777e+01 -1.68773e+01 -1.68771e+01 -1.68832e+01 -1.68859e+01 -1.68811e+01 -1.68865e+01 -1.68785e+01 -1.68826e+01 -1.68859e+01 -1.68851e+01 -1.68778e+01 -1.68859e+01 -1.68812e+01 -1.68832e+01 -1.68725e+01 -1.68855e+01 -1.68700e+01 -1.68816e+01 -1.68811e+01 -1.68839e+01 -1.68892e+01 -1.68779e+01 -1.68865e+01 -1.68867e+01 -1.68731e+01 -1.68809e+01 -1.68844e+01 
   2    0.1305342 -1.69100e+01 -1.69159e+01 -1.69045e+01 -1.69003e+01 -1.69094e+01 -1.69153e+01 -1.69134e+01 -1.69059e+01 -1.68998e+01 -1.69092e+01 -1.69069e+01 -1.69017e+01 -1.69022e+01 -1.69058e+01 -1.69069e+01 -1.69126e+01 -1.69152e+01 -1.69031e+01 -1.69044e+01 -1.69034e+01 -1.69060e+01 -1.69060e+01 -1.69012e+01 -1.69045e+01 -1.69084e+01 -1.69127e+01 -1.69029e+01 -1.69033e+01 -1.69044e+01 -1.69076e+01 -1.69114e+01 -1.69093e+01 -1.69128e+01 -1.69033e+01 -1.69081e+01 -1.69115e+01 -1.69107e+01 -1.69053e+01 -1.69112e+01 -1.69093e+01 -1.69102e+01 -1.69019e+01 -1.69137e+01 -1.68964e+01 -1.69104e+01 -1.69053e+01 -1.69123e+01 -1.69128e+01 -1.69039e+01 -1.69122e+01 -1.69092e+01 -1.69047e+01 -1.69077e+01 -1.69143e+01 
   3    0.1333926 -1.69358e+01 -1.69382e+01 -1.69312e+01 -1.69266e+01 -1.69343e+01 -1.69361e+01 -1.69403e+01 -1.69321e+01 -1.69231e+01 -1.69347e+01 -1.69304e+01 -1.69277e+01 -1.69274e+01 -1.69351e+01 -1.69361e+01 -1.69410e+01 -1.69390e+01 -1.69310e+01 -1.69363e+01 -1.69293e+01 -1.69314e+01 -1.69307e+01 -1.69284e+01 -1.69312e+01 -1.69287e+01 -1.69357e+01 -1.69316e+01 -1.69281e+01 -1.69313e+01 -1.69331e+01 -1.69376e+01 -1.69346e+01 -1.69405e+01 -1.69287e+01 -1.69319e+01 -1.69402e+01 -1.69358e+01 -1.69324e+01 -1.69364e+01 -1.69351e+01 -1.69358e+01 -1.69332e+01 -1.69370e+01 -1.69251e+01 -1.69380e+01 -1.69330e+01 -1.69349e+01 -1.69377e+01 -1.69325e+01 -1.69403e+01 -1.69337e+01 -1.69332e+01 -1.69339e+01 -1.69404e+01 
   4    0.1363135 -1.69600e+01 -1.69650e+01 -1.69566e+01 -1.69478e+01 -1.69610e+01 -1.69600e+01 -1.69674e+01 -1.69561e+01 -1.69529e+01 -1.69582e+01 -1.69535e+01 -1.69538e+01 -1.69523e+01 -1.69594e+01 -1.69604e+01 -1.69607e+01 -1.69613e+01 -1.69547e+01 -1.69612e+01 -1.69552e+01 -1.69603e+01 -1.69582e+01 -1.69578e+01 -1.69561e+01 -1.69486e+01 -1.69580e+01 -1.69545e+01 -1.69524e+01 -1.69606e+01 -1.69601e+01 -1.69621e+01 -1.69567e+01 -1.69580e+01 -1.69527e+01 -1.69598e+01 -1.69635e+01 -1.69628e+01 -1.69518e+01 -1.69606e+01 -1.69604e+01 -1.69642e+01 -1.69590e+01 -1.69603e+01 -1.69512e+01 -1.69638e+01 -1.69584e+01 -1.69597e+01 -1.69629e+01 -1.69592e+01 -1.69597e+01 -1.69601e+01 -1.69594e+01 -1.69607e+01 -1.69633e+01 
   5    0.1392983 -1.69814e+01 -1.69916e+01 -1.69819e+01 -1.69765e+01 -1.69888e+01 -1.69852e+01 -1.69920e+01 -1.69834e+01 -1.69786e+01 -1.69823e+01 -1.69741e+01 -1.69794e+01 -1.69749e+01 -1.69826e+01 -1.69869e+01 -1.69805e+01 -1.69831e+01 -1.69783e+01 -1.69859e+01 -1.69787e+01 -1.69861e+01 -1.69843e+01 -1.69803e+01 -1.69795e+01 -1.69733e+01 -1.69799e+01 -1.69777e+01 -1.69759e+01 -1.69825e+01 -1.69837e+01 -1.69817e+01 -1.69819e+01 -1.69833e+01 -1.69731e+01 -1.69830e+01 -1.69884e+01 -1.69860e+01 -1.69765e+01 -1.69809e+01 -1.69812e+01 -1.69899e+01 -1.69855e+01 -1.69858e+01 -1.69775e+01 -1.69913e+01 -1.69819e+01 -1.69795e+01 -1.69868e+01 -1.69847e+01 -1.69830e+01 -1.69827e+01 -1.69832e+01 -1.69850e+01 -1.69876e+01 
   6    0.1423486 -1.70043e+01 -1.70140e+01 -1.70057e+01 -1.70028e+01 -1.70116e+01 -1.70068e+01 -1.70128e+01 -1.70092e+01 -1.70036e+01 -1.70088e+01 -1.69984e+01 -1.70063e+01 -1.69987e+01 -1.70036e+01 -1.70086e+01 -1.69980e+01 -1.70086e+01 -1.70028e+01 -1.70081e+01 -1.70012e+01 -1.70099e+01 -1.70085e+01 -1.70030e+01 -1.70017e+01 -1.69965e+01 -1.70036e+01 -1.69999e+01 -1.69992e+01 -1.70067e+01 -1.70052e+01 -1.70088e+01 -1.70069e+01 -1.70029e+01 -1.69979e+01 -1.70091e+01 -1.70088e+01 -1.70083e+01 -1.70002e+01 -1.70056e+01 -1.70074e+01 -1.70155e+01 -1.70093e+01 -1.70109e+01 -1.70018e+01 -1.70152e+01 -1.70025e+01 -1.70009e+01 -1.70092e+01 -1.70077e+01 -1.70056e+01 -1.70118e+01 -1.70047e+01 -1.70097e+01 -1.70099e+01 
   7    0.1454656 -1.70283e+01 -1.70343e+01 -1.70259e+01 -1.70259e+01 -1.70335e+01 -1.70293e+01 -1.70312e+01 -1.70277e+01 -1.70280e+01 -1.70334e+01 -1.70238e+01 -1.70291e+01 -1.70218e+01 -1.70250e+01 -1.70308e+01 -1.70230e+01 -1.70299e+01 -1.70248e+01 -1.70317e+01 -1.70249e+01 -1.70331e+01 -1.70298e+01 -1.70255e+01 -1.70267e+01 -1.70196e+01 -1.70266e+01 -1.70207e+01 -1.70220e+01 -1.70288e+01 -1.70256e+01 -1.70302e+01 -1.70277e+01 -1.70258e+01 -1.70225e+01 -1.70270e+01 -1.70292e+01 -1.70298e+01 -1.70227e+01 -1.70258e+01 -1.70297e+01 -1.70361e+01 -1.70307e+01 -1.70286e+01 -1.70235e+01 -1.70367e+01 -1.70279e+01 -1.70241e+01 -1.70308e+01 -1.70323e+01 -1.70266e+01 -1.70323e+01 -1.70253e+01 -1.70314e+01 -1.70286e+01 
   8    0.1486509 -1.70539e+01 -1.70512e+01 -1.70477e+01 -1.70486e+01 -1.70521e+01 -1.70534e+01 -1.70517e+01 -1.70487e+01 -1.70506e+01 -1.70494e+01 -1.70469e+01 -1.70530e+01 -1.70456e+01 -1.70483e+01 -1.70516e+01 -1.70421e+01 -1.70461e+01 -1.70486e+01 -1.70511e+01 -1.70488e+01 -1.70576e+01 -1.70513e+01 -1.70496e+01 -1.70489e+01 -1.70429e+01 -1.70489e+01 -1.70443e+01 -1.70447e+01 -1.70489e+01 -1.70478e+01 -1.70473e+01 -1.70485e+01 -1.70481e+01 -1.70477e+01 -1.70523e+01 -1.70484e+01 -1.70537e+01 -1.70446e+01 -1.70433e+01 -1.70492e+01 -1.70565e+01 -1.70530e+01 -1.70485e+01 -1.70460e+01 -1.70581e+01 -1.70500e+01 -1.70450e+01 -1.70531e+01 -1.70503e+01 -1.70521e+01 -1.70526e+01 -1.70502e+01 -1.70540e+01 -1.70492e+01 
   9    0.1519059 -1.70754e+01 -1.70706e+01 -1.70678e+01 -1.70728e+01 -1.70724e+01 -1.70752e+01 -1.70712e+01 -1.70709e+01 -1.70744e+01 -1.70702e+01 -1.70714e+01 -1.70727e+01 -1.70688e+01 -1.70684e+01 -1.70697e+01 -1.70653e+01 -1.70644e+01 -1.70684e+01 -1.70723e+01 -1.70710e+01 -1.70797e+01 -1.70698e+01 -1.70709e+01 -1.70697e+01 -1.70629e+01 -1.70676e+01 -1.70673e+01 -1.70659e+01 -1.70716e+01 -1.70691e+01 -1.70664e+01 -1.70698e+01 -1.70683e+01 -1.70722e+01 -1.70719e+01 -1.70680e+01 -1.70717e+01 -1.70663e+01 -1.70662e+01 -1.70688e+01 -1.70785e+01 -1.70727e+01 -1.70708e+01 -1.70687e+01 -1.70757e+01 -1.70718e+01 -1.70656e+01 -1.70762e+01 -1.70694e+01 -1.70698e+01 -1.70738e+01 -1.70681e+01 -1.70744e+01 -1.70694e+01 
